name,code,link,manager
鹏华中证高铁产业指数(LOF),160639,http://fundf10.eastmoney.com/160639.html,罗英宇
鹏华创业板指数(LOF), ,http://fundf10.eastmoney.com/160637.html,张羽翔
鹏华中证医药卫生(LOF)C,010366,http://fundf10.eastmoney.com/010366.html,罗捷
鹏华中证医药卫生(LOF)A,160635,http://fundf10.eastmoney.com/160635.html,罗捷
鹏华中证500指数(LOF)A,160616,http://fundf10.eastmoney.com/160616.html,张羽翔
鹏华中证500指数(LOF)C,006938,http://fundf10.eastmoney.com/006938.html,张羽翔
鹏华中证500ETF联接A,007932,http://fundf10.eastmoney.com/007932.html,陈龙
鹏华中证500ETF联接C,008001,http://fundf10.eastmoney.com/008001.html,陈龙
鹏华养老产业股票,000854,http://fundf10.eastmoney.com/000854.html,王宗合
鹏华文化传媒娱乐股票,001223,http://fundf10.eastmoney.com/001223.html,贺宁
鹏华中证800地产指数(LOF),160628,http://fundf10.eastmoney.com/160628.html,闫冬
鹏华中证移动互联网指数(LOF),160636,http://fundf10.eastmoney.com/160636.html,罗英宇
鹏华沪深港互联网股票,004292,http://fundf10.eastmoney.com/004292.html,聂毅翔
鹏华酒,160632,http://fundf10.eastmoney.com/160632.html,闫冬
鹏华中证国防指数(LOF),160630,http://fundf10.eastmoney.com/160630.html,陈龙
鹏华中证传媒指数(LOF),160629,http://fundf10.eastmoney.com/160629.html,张羽翔
鹏华中证信息技术指数(LOF),160626,http://fundf10.eastmoney.com/160626.html,罗英宇
鹏华证券保险指数(LOF),160625,http://fundf10.eastmoney.com/160625.html,陈龙
鹏华空天军工指数(LOF)A,160643,http://fundf10.eastmoney.com/160643.html,陈龙
鹏华空天军工指数(LOF)C,010364,http://fundf10.eastmoney.com/010364.html,陈龙
鹏华中证全指证券公司指数(LOF),160633,http://fundf10.eastmoney.com/160633.html,陈龙
鹏华优质企业混合,009234,http://fundf10.eastmoney.com/009234.html,袁航
鹏华核心优势混合,006976,http://fundf10.eastmoney.com/006976.html,谢书英
鹏华策略优选灵活配置混合,160627,http://fundf10.eastmoney.com/160627.html,袁航
鹏华精选成长混合,206002,http://fundf10.eastmoney.com/206002.html,谢书英
鹏华价值优势混合(LOF),160607,http://fundf10.eastmoney.com/160607.html,谢书英
鹏华动力增长混合(LOF),160610,http://fundf10.eastmoney.com/160610.html,张航
鹏华弘嘉混合A类,003165,http://fundf10.eastmoney.com/003165.html,汤志彦
鹏华弘嘉混合C类,003166,http://fundf10.eastmoney.com/003166.html,汤志彦
鹏华金鼎灵活配置混合A,002504,http://fundf10.eastmoney.com/002504.html,戴钢
鹏华金鼎灵活配置混合C,002505,http://fundf10.eastmoney.com/002505.html,戴钢
鹏华沪深港新兴成长混合,003835,http://fundf10.eastmoney.com/003835.html,尤柏年
鹏华品牌传承混合,000431,http://fundf10.eastmoney.com/000431.html,张航
鹏华安和混合A,009230,http://fundf10.eastmoney.com/009230.html,张栓伟
鹏华安和混合C,009231,http://fundf10.eastmoney.com/009231.html,张栓伟
鹏华安庆混合A,009667,http://fundf10.eastmoney.com/009667.html,张栓伟
鹏华科技创新混合,008811,http://fundf10.eastmoney.com/008811.html,梁浩
鹏华安庆混合C,009668,http://fundf10.eastmoney.com/009668.html,张栓伟
鹏华外延成长混合,001222,http://fundf10.eastmoney.com/001222.html,陈璇淼
